Series ID,Series title ,Year,Estimate,Estimate footnote,Standard error,Standard error footnote,Survey code,Survey text,Ownership code,Ownership text,Industry code,Industry text,Occupation code,Occupation text,Subcell code,Job characteristic category,Job characteristic,Estimate code,Estimate text,Datatype code,Datatype text,Provision code,Provision text
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2010,3,,0.7,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2011,3,,0.7,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2012,3,,0.5,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2013,3,,0.6,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2014,3,,0.6,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2015,4,,0.7,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2016,4,,0.7,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2017,4,,0.6,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2018,4,,0.6,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
NBU17360000000000033357,Percent of civilian workers with access to flexible workplace; in education and health services,2019,4,,0.5,,IP,Incidence and Key Provision Benefits,1,Civilian workers,600000,Education and health services,0,All occupations,0,All workers,All workers,73,Quality of life benefits,33,Percent of workers with access,357,Flexible workplace
